Wall time,Step,Value
1590116771.8166554,1,1.064103126525879
1590117071.6026247,2,1.2343584299087524
1590117373.3697267,3,1.2524715662002563
1590117682.6720543,4,1.253049612045288
1590117988.820534,5,1.2508656978607178
1590118299.5541873,6,1.2506964206695557
1590118601.4271138,7,1.2523465156555176
1590118905.7162204,8,1.252792239189148
1590119211.88514,9,1.253650188446045
1590119484.1630867,10,1.2552226781845093
1590119790.0196567,11,1.256827473640442
1590120092.55226,12,1.2596009969711304
1590120404.8159902,13,1.2628188133239746
1590120715.5080273,14,1.2659499645233154
1590121021.0165029,15,1.2682015895843506
1590121332.7405334,16,1.2707680463790894
1590121643.9593592,17,1.272918701171875
1590121955.3322926,18,1.2732175588607788
1590122266.6639009,19,1.269562840461731
1590122574.4161873,20,1.268515706062317
1590122883.391631,21,1.2667070627212524
1590123247.1434238,22,1.2635042667388916
1590123613.226766,23,1.2577420473098755
1590123969.1157897,24,1.2513242959976196
1590124319.945695,25,1.2501877546310425
1590124667.0825145,26,1.2445307970046997
1590125012.5853872,27,1.2398841381072998
1590125370.8842444,28,1.2362536191940308
1590125736.6149118,29,1.233384609222412
1590126095.4590774,30,1.2291713953018188
1590126461.0593157,31,1.228176236152649
1590126817.568543,32,1.2275093793869019
1590127187.9027586,33,1.2271997928619385
1590127553.3773863,34,1.2257018089294434
1590127919.8245933,35,1.2262029647827148
1590128276.8516715,36,1.226621389389038
1590128612.176577,37,1.2261767387390137
1590128960.6416547,38,1.227127194404602
1590129305.6706786,39,1.227652907371521
1590129652.1001723,40,1.2282729148864746
