compute005
0
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
(1, 60, 50) 3
Box(1, 60, 50)
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/gym/envs/registration.py:14: PkgResourcesDeprecationWarning: Parameters to load are deprecated.  Call .resolve and .require separately.
  result = entry_point.load(False)
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Worker ID: 0 | Episode :72 | Average episode reward : 0.000 | Episode length: 2733.0
Worker ID: 0 | Episode :73 | Average episode reward : 0.000 | Episode length: 2746.0
Worker ID: 0 | Episode :74 | Average episode reward : 0.000 | Episode length: 2717.0
Worker ID: 0 | Episode :75 | Average episode reward : 0.000 | Episode length: 2746.0
Worker ID: 0 | Episode :76 | Average episode reward : 0.000 | Episode length: 2744.0
Worker ID: 0 | Episode :77 | Average episode reward : 0.000 | Episode length: 2698.0
Worker ID: 0 | Episode :78 | Average episode reward : 0.000 | Episode length: 2719.0
Worker ID: 0 | Episode :79 | Average episode reward : 0.000 | Episode length: 2736.0
Worker ID: 0 | Episode :80 | Average episode reward : 0.000 | Episode length: 2718.0
Worker ID: 0 | Episode :81 | Average episode reward : 0.000 | Episode length: 2728.0
Worker ID: 0 | Episode :82 | Average episode reward : 0.000 | Episode length: 2732.0
Worker ID: 0 | Episode :83 | Average episode reward : 0.000 | Episode length: 2694.0
Worker ID: 0 | Episode :84 | Average episode reward : 0.000 | Episode length: 2700.0
Worker ID: 0 | Episode :85 | Average episode reward : 0.000 | Episode length: 2740.0
Worker ID: 0 | Episode :86 | Average episode reward : 0.000 | Episode length: 2743.0
Worker ID: 0 | Episode :87 | Average episode reward : 0.000 | Episode length: 2727.0
Worker ID: 0 | Episode :88 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :89 | Average episode reward : 0.000 | Episode length: 2723.0
Worker ID: 0 | Episode :90 | Average episode reward : 0.000 | Episode length: 2706.0
Worker ID: 0 | Episode :91 | Average episode reward : 0.000 | Episode length: 2740.0
Worker ID: 0 | Episode :92 | Average episode reward : 0.000 | Episode length: 2742.0
Worker ID: 0 | Episode :93 | Average episode reward : 0.000 | Episode length: 2724.0
Worker ID: 0 | Episode :94 | Average episode reward : 0.000 | Episode length: 2735.0
Worker ID: 0 | Episode :95 | Average episode reward : 0.000 | Episode length: 2723.0
Worker ID: 0 | Episode :96 | Average episode reward : 0.000 | Episode length: 2754.0
Worker ID: 0 | Episode :97 | Average episode reward : 0.000 | Episode length: 2733.0
Worker ID: 0 | Episode :98 | Average episode reward : 0.000 | Episode length: 2719.0
Worker ID: 0 | Episode :99 | Average episode reward : 0.000 | Episode length: 2715.0
Worker ID: 0 | Episode :100 | Average episode reward : 0.000 | Episode length: 2748.0
Worker ID: 0 | Episode :101 | Average episode reward : 0.000 | Episode length: 2728.0
Worker ID: 0 | Episode :102 | Average episode reward : 0.000 | Episode length: 2753.0
Worker ID: 0 | Episode :103 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :104 | Average episode reward : 0.000 | Episode length: 2718.0
Worker ID: 0 | Episode :105 | Average episode reward : 0.000 | Episode length: 2741.0
Worker ID: 0 | Episode :106 | Average episode reward : 0.000 | Episode length: 2705.0
Worker ID: 0 | Episode :107 | Average episode reward : 0.000 | Episode length: 2718.0
Worker ID: 0 | Episode :108 | Average episode reward : 0.000 | Episode length: 2712.0
Worker ID: 0 | Episode :109 | Average episode reward : 0.000 | Episode length: 2733.0
Worker ID: 0 | Episode :110 | Average episode reward : 0.000 | Episode length: 2732.0
Worker ID: 0 | Episode :111 | Average episode reward : 0.000 | Episode length: 2718.0
Worker ID: 0 | Episode :112 | Average episode reward : 0.000 | Episode length: 2752.0
Worker ID: 0 | Episode :113 | Average episode reward : 0.000 | Episode length: 2702.0
Worker ID: 0 | Episode :114 | Average episode reward : 0.000 | Episode length: 2720.0
Worker ID: 0 | Episode :115 | Average episode reward : 0.000 | Episode length: 2718.0
Worker ID: 0 | Episode :116 | Average episode reward : 0.000 | Episode length: 2737.0
Worker ID: 0 | Episode :117 | Average episode reward : 0.000 | Episode length: 2738.0
Worker ID: 0 | Episode :118 | Average episode reward : 0.000 | Episode length: 2743.0
Worker ID: 0 | Episode :119 | Average episode reward : 0.000 | Episode length: 2732.0
Worker ID: 0 | Episode :120 | Average episode reward : 0.000 | Episode length: 2723.0
Worker ID: 0 | Episode :121 | Average episode reward : 0.000 | Episode length: 2718.0
Worker ID: 0 | Episode :122 | Average episode reward : 0.000 | Episode length: 2734.0
Worker ID: 0 | Episode :123 | Average episode reward : 0.000 | Episode length: 2723.0
Worker ID: 0 | Episode :124 | Average episode reward : 0.000 | Episode length: 2734.0
Worker ID: 0 | Episode :125 | Average episode reward : 0.000 | Episode length: 2746.0
Worker ID: 0 | Episode :126 | Average episode reward : 0.000 | Episode length: 2724.0
Worker ID: 0 | Episode :127 | Average episode reward : 0.000 | Episode length: 2772.0
Worker ID: 0 | Episode :128 | Average episode reward : 0.000 | Episode length: 2741.0
Worker ID: 0 | Episode :129 | Average episode reward : 0.000 | Episode length: 2731.0
Worker ID: 0 | Episode :130 | Average episode reward : 0.000 | Episode length: 2721.0
