compute005
0
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:541: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:542: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:543: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:544: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:545: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:550: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Epoch: 03 | Batch: 300 | CrossEntropy-loss: 0.44437 | Correct: 1058/1280 | Difference: 0.7589052844765477
Epoch: 03 | Batch: 400 | CrossEntropy-loss: 0.42660 | Correct: 1062/1280 | Difference: 0.7571761614968665
Epoch: 03 | Batch: 500 | CrossEntropy-loss: 0.43606 | Correct: 1055/1280 | Difference: 0.7552373759216703
Epoch: 03 | Batch: 600 | CrossEntropy-loss: 0.47689 | Correct: 1037/1280 | Difference: 0.7536016855185171
Epoch: 03 | Batch: 700 | CrossEntropy-loss: 0.44624 | Correct: 1047/1280 | Difference: 0.7520004756084673
Epoch: 03 | Batch: 800 | CrossEntropy-loss: 0.42221 | Correct: 1075/1280 | Difference: 0.7511555443033345
Epoch: 03 | Batch: 900 | CrossEntropy-loss: 0.41254 | Correct: 1090/1280 | Difference: 0.7497022825910623
Epoch: 03 | Batch: 1000 | CrossEntropy-loss: 0.46572 | Correct: 1038/1280 | Difference: 0.7473477163286951
Epoch: 03 | Batch: 1100 | CrossEntropy-loss: 0.40999 | Correct: 1070/1280 | Difference: 0.7445129885524001
Epoch: 03 | Batch: 1200 | CrossEntropy-loss: 0.42765 | Correct: 1056/1280 | Difference: 0.7412193123313746
Epoch: 03 | Batch: 1300 | CrossEntropy-loss: 0.43525 | Correct: 1054/1280 | Difference: 0.7375981742318548
Epoch: 03 | Batch: 1400 | CrossEntropy-loss: 0.37767 | Correct: 1083/1280 | Difference: 0.7346228969418971
Epoch: 03 | Batch: 1500 | CrossEntropy-loss: 0.43273 | Correct: 1050/1280 | Difference: 0.73291246013376

Epoch: 03 | Testing Accuracy: 418621/504607 (82.960%) | Historical Best: 82.960% 

Epoch: 04 | Batch: 000 | CrossEntropy-loss: 0.42527 | Correct: 1049/1280 | Difference: 0.7314105029162882
