compute002
0
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:541: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:542: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:543: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:544: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:545: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:550: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Epoch: 02 | Batch: 1700 | CrossEntropy-loss: 0.37634 | Correct: 998/1280
Epoch: 02 | Batch: 1800 | CrossEntropy-loss: 0.38913 | Correct: 948/1280
Epoch: 02 | Batch: 1900 | CrossEntropy-loss: 0.37678 | Correct: 955/1280
Epoch: 02 | Batch: 2000 | CrossEntropy-loss: 0.37065 | Correct: 993/1280
Epoch: 02 | Batch: 2100 | CrossEntropy-loss: 0.37850 | Correct: 978/1280
Epoch: 02 | Batch: 2200 | CrossEntropy-loss: 0.35861 | Correct: 991/1280
Epoch: 02 | Batch: 2300 | CrossEntropy-loss: 0.36055 | Correct: 996/1280
Epoch: 02 | Batch: 2400 | CrossEntropy-loss: 0.36363 | Correct: 982/1280
Epoch: 02 | Batch: 2500 | CrossEntropy-loss: 0.36300 | Correct: 981/1280
Epoch: 02 | Batch: 2600 | CrossEntropy-loss: 0.36702 | Correct: 959/1280
Epoch: 02 | Batch: 2700 | CrossEntropy-loss: 0.38066 | Correct: 941/1280
Epoch: 02 | Batch: 2800 | CrossEntropy-loss: 0.36472 | Correct: 961/1280
Epoch: 02 | Batch: 2900 | CrossEntropy-loss: 0.36566 | Correct: 963/1280
Epoch: 02 | Batch: 3000 | CrossEntropy-loss: 0.36787 | Correct: 943/1280

Epoch: 02 | Testing Accuracy: 751409/990020 (75.898%) | Historical Best: 75.898% 

Epoch: 03 | Batch: 000 | CrossEntropy-loss: 0.36235 | Correct: 972/1280
Epoch: 03 | Batch: 100 | CrossEntropy-loss: 0.36222 | Correct: 964/1280
Epoch: 03 | Batch: 200 | CrossEntropy-loss: 0.35936 | Correct: 971/1280
Epoch: 03 | Batch: 300 | CrossEntropy-loss: 0.36910 | Correct: 976/1280
Epoch: 03 | Batch: 400 | CrossEntropy-loss: 0.36064 | Correct: 993/1280
